human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
PDE1B,0.000,3.460,Pde1b,0.000,1.572,0.000
PCOLCE,0.000,32.349,Pcolce,0.000,10.400,0.000
ROCK1,0.000,13.782,Rock1,0.000,9.265,0.000
CNOT4,0.000,5.948,Cnot4,0.000,5.803,0.000
TGM1,0.000,0.975,Tgm1,0.000,0.206,0.000
PSAP,0.000,190.069,Psap,0.000,91.300,0.000
IPP,0.300,5.493,Ipp,0.000,6.012,0.548
TMED4,0.000,60.421,Tmed4,0.000,32.070,0.000
CCDC92,0.268,23.126,Ccdc92,0.000,4.486,0.518
NCAPH,0.000,5.196,Ncaph,0.000,17.900,0.000
TCHHL1,0.000,0.000,Tchhl1,0.000,0.000,0.000
ATP13A1,0.000,25.551,Atp13a1,0.000,21.710,0.000
RAC3,0.000,16.659,Rac3,0.000,6.149,0.000
JMJD6,0.000,9.794,Jmjd6,0.000,30.290,0.000
VPS35,0.000,30.444,Vps35,0.000,30.400,0.000
HAX1,0.000,30.162,Hax1,0.000,42.170,0.000
APOBEC1,0.284,0.000,Apobec1,0.000,0.637,0.533
PCP2,0.000,0.508,Pcp2,0.000,0.833,0.000
LARS,0.000,23.627,Lars,0.000,21.310,0.000
YIPF3,0.000,62.623,Yipf3,0.000,19.590,0.000
OAS2,0.000,0.395,Oas2,0.000,0.099,0.000
OAS3,0.000,2.044,Oas3,0.000,0.093,0.000
PSMB8,0.000,6.898,Psmb8,0.000,0.641,0.000
PAK1,0.962,22.256,Pak1,0.000,5.159,0.981
DDX52,0.000,9.656,Ddx52,0.000,14.750,0.000
CDC42EP1,0.000,28.428,Cdc42ep1,0.000,1.604,0.000
LRRC59,0.000,23.990,Lrrc59,0.000,52.260,0.000
ARHGDIA,0.000,103.876,Arhgdia,0.000,119.700,0.000
GTF2F1,0.000,41.602,Gtf2f1,0.000,30.330,0.000
CYTIP,0.000,1.491,Cytip,0.000,0.032,0.000
RAB40C,0.000,16.600,Rab40c,0.000,12.340,0.000
AGAP3,0.000,29.443,Agap3,0.000,24.170,0.000
MBTPS2,0.000,6.612,Mbtps2,0.000,7.280,0.000
PPAN,0.000,12.231,Ppan,0.000,28.820,0.000
DKK4,0.000,0.157,Dkk4,0.000,0.006,0.000
DDX3Y,0.000,0.394,Ddx3y,0.000,4.809,0.000
FOSB,0.000,348.069,Fosb,0.000,158.300,0.000
EPM2AIP1,0.000,12.589,Epm2aip1,0.000,14.970,0.000
FAM126A,0.000,4.529,Fam126a,0.000,10.980,0.000
EGLN1,0.000,10.921,Egln1,0.000,23.150,0.000
CTR9,0.000,12.790,Ctr9,0.000,18.410,0.000
ZFP92,0.000,0.829,Zfp92,0.000,0.004,0.000
KLHDC7B,0.000,0.069,Klhdc7b,0.000,0.000,0.000
KLK8,0.316,8.843,Klk8,0.000,2.518,0.562
PRSS12,0.000,0.884,Prss12,0.000,0.286,0.000
LANCL2,0.347,9.375,Lancl2,0.000,13.900,0.589
MCOLN1,0.000,9.677,Mcoln1,0.000,10.260,0.000
GOLGA1,0.000,3.198,Golga1,0.000,4.148,0.000
MRPS7,0.000,23.486,Mrps7,0.000,31.660,0.000
LCMT1,0.000,26.061,Lcmt1,0.000,17.630,0.000
AKT1S1,0.000,26.116,Akt1s1,0.000,48.250,0.000
PNCK,0.000,6.146,Pnck,0.000,2.320,0.000
RAB11B,0.000,108.895,Rab11b,0.000,20.580,0.000
KIF3B,0.000,10.493,Kif3b,0.000,6.835,0.000
RPS6KA1,0.000,6.552,Rps6ka1,0.000,17.010,0.000
PHLDB3,0.000,4.645,Phldb3,0.000,0.236,0.000
ATMIN,0.000,13.996,Atmin,0.000,7.607,0.000
RPL19,0.000,1385.720,Rpl19,0.000,955.300,0.000
NR1H2,0.000,19.283,Nr1h2,0.000,23.300,0.000
CHIT1,0.000,0.000,Chit1,0.000,0.002,0.000
PTGIR,0.000,0.564,Ptgir,0.000,0.353,0.000
VPS4B,0.000,10.698,Vps4b,0.000,19.610,0.000
FAAH,0.000,7.856,Faah,0.000,0.581,0.000
CMA1,0.000,0.166,Cma1,0.000,0.000,0.000
C3,0.000,0.315,C3,0.000,0.075,0.000
PHYH,0.316,8.119,Phyh,0.000,7.114,0.562
RACGAP1,0.000,13.649,Racgap1,0.000,27.020,0.000
FOLR1,0.000,0.910,Folr1,0.000,1.009,0.000
SEC23B,0.000,12.122,Sec23b,0.000,14.920,0.000
CPB1,0.000,0.077,Cpb1,0.000,0.034,0.000
HCCS,0.000,5.069,Hccs,0.000,6.911,0.000
HAS1,0.000,3.023,Has1,0.000,0.149,0.000
HELLS,0.426,8.066,Hells,0.000,18.910,0.653
GPR12,1.562,0.176,Gpr12,0.000,0.099,1.250
PRAF2,0.000,25.031,Praf2,0.000,17.860,0.000
USP39,0.000,27.649,Usp39,0.000,21.800,0.000
UBFD1,0.000,27.974,Ubfd1,0.000,29.820,0.000
EXOC7,0.000,40.055,Exoc7,0.000,14.260,0.000
LRRC16B,0.000,2.130,Lrrc16b,0.000,1.547,0.000
CCR1,0.000,1.054,Ccr1,0.000,0.608,0.000
ARHGDIG,0.000,1.175,Arhgdig,0.000,3.600,0.000
HMX3,0.000,0.000,Hmx3,0.000,0.003,0.000
FECH,0.000,3.281,Fech,0.000,8.596,0.000
BCAN,0.379,0.030,Bcan,0.000,0.004,0.615
TTC3,0.000,47.532,Ttc3,0.000,49.130,0.000
